Accelerometer X,Accelerometer Y,Accelerometer Z
-0.055,1.047,0.25
-0.102,1.008,0.227
-0.094,0.992,0.168
-0.098,1.09,0.02
-0.012,1.125,-0.066
0.164,1.035,-0.086
0.27,0.973,-0.16
0.305,1.035,-0.164
0.25,1.004,-0.207
0.145,0.934,-0.215
0.09,0.898,-0.23
0.063,0.879,-0.199
0.039,0.887,-0.195
0.043,0.895,-0.203
0.039,0.902,-0.23
0.059,0.91,-0.238
0.07,0.922,-0.215
0.078,0.898,-0.223
0.074,0.938,-0.242
0.094,0.984,-0.219
0.09,0.973,-0.23
0.074,0.957,-0.227
0.063,0.957,-0.227
0.086,0.945,-0.223
0.105,0.902,-0.211
0.117,0.918,-0.215
0.098,0.938,-0.23
0.105,0.957,-0.234
0.125,0.969,-0.227
0.141,0.965,-0.215
0.156,0.957,-0.203
0.16,0.914,-0.184
0.156,0.914,-0.199
0.184,0.922,-0.176
0.215,0.938,-0.16
0.207,0.941,-0.156
0.227,0.957,-0.141
0.238,0.91,-0.094
0.238,0.918,-0.07
0.219,0.969,-0.066
0.215,0.98,-0.078
0.195,0.91,-0.098
0.262,0.898,-0.113
0.273,0.941,-0.09
0.23,0.934,-0.094
0.176,0.965,-0.105
0.234,0.938,-0.07
0.242,0.93,-0.023
0.23,0.918,-0.047
0.355,0.957,-0.031
0.43,1.035,0.063
0.277,1.043,0.043
0.117,1.082,-0.031
0.152,1.07,-0.016
0.223,1.008,0.008
0.23,0.957,-0.012
0.215,0.93,-0.004
0.203,0.926,0.031
0.234,0.938,0.09
0.238,1.055,0.031
0.184,1.094,0.027
0.156,1.082,0.102
0.098,0.949,0.129
0.043,0.895,0.148
0.023,0.949,0.168
0.086,0.988,0.184
0.094,0.984,0.184
0.074,0.969,0.168
0.023,0.973,0.168
-0.004,0.953,0.176
-0.008,0.984,0.191
-0.039,1.008,0.188
-0.066,1.004,0.168
-0.086,0.988,0.152
-0.066,0.992,0.125
-0.031,0.977,0.129
-0.02,0.988,0.129
-0.047,0.969,0.129
-0.133,0.984,0.113
-0.176,1.004,0.113
-0.176,1.008,0.109
-0.164,1.027,0.078
-0.168,1.023,0.07
-0.133,1.027,0.043
-0.105,1.004,0.082
-0.109,1.02,0.094
-0.168,1.031,0.086
-0.199,1.066,0.051
-0.129,1.07,0.063
-0.008,1.035,0.094
0.063,1.004,0.039
0.078,1.039,0.027
0.105,1.039,0.012
0.156,0.969,0.043
0.195,0.926,-0.008
0.16,0.926,-0.07
0.133,1.008,-0.086
0.102,1.074,-0.098
0.094,1.039,-0.043
0.094,0.984,-0.031
0.086,0.91,-0.059
0.031,0.906,-0.09
0.004,0.98,-0.098
-0.039,1.008,-0.125
-0.031,1.0,-0.145
-0.012,0.961,-0.129
-0.012,0.957,-0.086
-0.023,0.945,-0.113
-0.039,0.957,-0.109
-0.051,0.969,-0.152
-0.059,0.938,-0.148
-0.07,0.926,-0.145
-0.078,0.953,-0.164
-0.086,0.949,-0.168
-0.105,0.91,-0.184
-0.113,0.93,-0.191
-0.109,0.918,-0.215
-0.121,0.883,-0.215
-0.059,0.867,-0.23
-0.09,0.945,-0.199
-0.145,0.992,-0.223
-0.152,1.0,-0.242
-0.18,1.063,-0.23
-0.238,1.074,-0.211
-0.25,1.004,-0.172
-0.242,0.934,-0.141
-0.117,1.008,-0.086
-0.113,1.082,-0.047
-0.07,0.965,-0.047
-0.059,0.953,-0.047
-0.137,1.047,0.0
-0.121,1.012,0.012
-0.125,1.02,-0.004
-0.148,0.992,0.012
-0.172,1.004,0.063
-0.18,1.027,0.012
-0.16,0.996,0.059
-0.176,0.973,0.063
-0.184,0.996,0.094
-0.191,0.973,0.09
-0.254,0.957,0.059
-0.199,0.992,0.063
-0.098,0.973,0.098
-0.113,0.969,0.082
-0.07,0.934,0.113
-0.09,0.992,0.117
-0.125,1.0,0.102
-0.023,0.992,0.16
0.051,1.0,0.133
0.066,0.949,0.137
0.039,0.969,0.113
-0.012,0.965,0.137
0.008,1.012,0.113
0.031,0.977,0.113
0.02,0.93,0.117
-0.035,0.977,0.113
-0.023,1.039,0.102
-0.039,1.004,0.113
-0.102,1.074,0.121
-0.039,1.059,0.117
0.043,1.008,0.098
0.102,0.984,0.094
0.098,1.043,0.109
0.027,1.047,0.09
-0.09,1.043,0.078
-0.113,0.996,0.07
-0.066,0.934,0.059
-0.016,0.949,0.055
-0.012,1.0,0.047
0.016,1.043,0.047
0.012,1.0,0.035
0.004,0.98,0.012
0.02,1.0,0.012
0.035,1.027,0.047
0.063,1.043,0.016
0.145,0.996,0.027
0.129,0.98,0.027
0.133,0.992,0.023
0.152,0.93,0.004
0.078,0.938,-0.012
0.055,1.004,-0.02
0.086,1.023,-0.043
0.086,0.945,-0.078
0.047,0.906,-0.09
0.035,0.953,-0.074
-0.02,1.074,-0.09
-0.055,1.027,-0.078
-0.109,0.91,-0.09
-0.078,0.906,-0.094
-0.102,1.016,-0.094
-0.082,1.051,-0.082
-0.004,0.98,-0.086
0.078,0.973,-0.074
0.117,0.992,-0.07
0.109,0.957,-0.066
0.113,0.953,-0.074
0.102,0.996,-0.07
0.09,0.984,-0.07
0.094,0.961,-0.063
0.098,0.98,-0.066
0.102,1.027,-0.078
0.086,0.984,-0.07
0.09,0.973,-0.07
0.117,0.969,-0.074
0.105,0.992,-0.078
0.094,0.973,-0.066
0.059,0.98,-0.09
0.055,1.031,-0.074
0.055,1.035,-0.086
0.063,1.027,-0.074
0.043,0.961,-0.07
-0.016,0.98,-0.078
-0.035,1.023,-0.082
-0.02,0.996,-0.055
0.043,0.973,-0.059
0.082,0.996,-0.063
0.07,0.992,-0.055
0.07,0.98,-0.066
0.098,0.992,-0.051
0.105,0.977,-0.055
0.074,0.996,-0.051
0.047,1.008,-0.055
0.031,0.992,-0.051
0.039,0.977,-0.051
0.059,0.984,-0.043
0.094,0.992,-0.031
0.137,0.984,-0.027
0.148,0.969,-0.023
0.113,0.996,-0.023
0.043,0.98,-0.043
0.051,0.996,-0.051
0.094,0.988,-0.051
0.168,0.977,-0.051
0.117,1.0,-0.055
0.039,0.988,-0.059
0.027,0.992,-0.07
0.059,0.984,-0.047
0.059,0.977,-0.055
0.074,0.988,-0.035
0.043,1.016,-0.039
0.0,0.996,-0.035
0.004,0.992,-0.043
0.035,0.988,-0.027
0.055,0.992,-0.027
0.047,0.996,-0.047
0.047,0.973,-0.055
0.055,0.969,-0.051
0.059,1.008,-0.047
0.055,1.016,-0.047
0.055,0.977,-0.051
0.055,0.965,-0.059
0.07,1.012,-0.051
0.07,1.031,-0.035
0.027,0.969,-0.047
-0.004,0.973,-0.047
-0.008,1.004,-0.047
0.047,0.973,-0.063
0.109,0.984,-0.07
0.133,0.984,-0.051
0.098,1.0,-0.035
0.027,1.008,-0.043
-0.016,0.973,-0.051
-0.012,1.004,-0.051
0.039,1.008,-0.055
0.078,0.969,-0.063
0.094,0.984,-0.055
0.063,0.996,-0.055
0.031,0.984,-0.059
0.008,0.988,-0.074
0.016,0.992,-0.078
0.055,0.996,-0.07
0.039,0.969,-0.086
0.039,0.914,-0.082
0.027,0.957,-0.051
-0.051,1.043,-0.047
-0.059,1.0,-0.031
0.043,0.957,0.09
0.152,0.91,0.176
0.098,0.992,0.145
-0.039,1.016,0.105
-0.117,1.039,0.043
0.039,1.031,0.066
0.246,0.992,0.09
0.332,0.977,0.137
0.238,0.977,0.156
0.059,0.984,0.125
-0.012,1.012,0.137
0.02,1.008,0.152
0.051,0.988,0.184
0.074,0.98,0.211
0.055,0.992,0.23
0.031,1.043,0.242
0.105,1.0,0.238
0.172,0.914,0.246
0.195,0.93,0.219
0.152,1.012,0.117
0.18,1.176,-0.02
0.223,1.23,-0.18
0.324,1.133,-0.281
0.363,1.094,-0.328
0.293,1.051,-0.391
0.207,0.957,-0.367
0.129,0.953,-0.359
0.121,0.801,-0.34
0.082,0.656,-0.313
0.16,0.664,-0.266
0.219,0.809,-0.27
0.223,0.855,-0.32
0.211,0.863,-0.344
0.176,0.895,-0.324
0.137,0.902,-0.348
0.152,0.887,-0.344
0.191,0.867,-0.297
0.23,0.895,-0.281
0.234,0.898,-0.297
0.199,0.906,-0.285
0.195,0.898,-0.289
0.199,0.883,-0.301
0.184,0.883,-0.293
0.172,0.891,-0.273
0.164,0.926,-0.285
0.121,0.953,-0.309
0.117,0.934,-0.305
0.148,0.93,-0.289
0.195,0.949,-0.273
0.203,0.969,-0.242
0.164,0.945,-0.234
0.133,0.914,-0.258
0.117,0.918,-0.234
0.129,0.941,-0.23
0.137,0.949,-0.223
0.156,0.941,-0.219
0.164,0.957,-0.211
0.203,0.973,-0.227
0.188,0.973,-0.215
0.18,0.961,-0.219
0.156,0.969,-0.219
0.129,0.953,-0.219
0.102,0.965,-0.23
0.109,0.93,-0.234
0.098,0.941,-0.188
0.09,0.957,-0.168
0.133,0.961,-0.184
0.113,0.945,-0.199
0.066,0.969,-0.195
0.074,0.988,-0.191
0.109,0.98,-0.184
0.125,0.961,-0.156
0.102,0.98,-0.145
0.121,0.992,-0.133
0.137,0.98,-0.105
0.121,0.984,-0.121
0.121,0.957,-0.063
0.105,0.965,-0.051
0.094,0.98,-0.051
0.102,0.957,-0.02
0.07,0.965,-0.004
0.047,1.0,0.012
0.02,1.113,0.059
0.012,1.102,0.039
-0.023,1.078,0.078
-0.035,1.063,0.109
-0.02,0.957,0.102
0.055,0.941,0.086
0.063,0.988,0.082
-0.027,0.98,0.07
-0.066,1.004,0.066
-0.035,1.055,0.086
0.008,1.016,0.082
0.027,0.957,0.098
0.055,1.008,0.109
0.063,1.027,0.121
0.066,1.008,0.117
0.063,0.949,0.105
0.031,0.98,0.105
0.043,1.023,0.102
0.086,1.004,0.105
0.125,0.973,0.113
0.125,0.977,0.102
0.117,0.969,0.105
0.109,0.996,0.113
0.098,0.996,0.125
0.129,0.965,0.109
0.188,0.945,0.113
0.219,0.949,0.113
0.219,0.965,0.117
0.188,0.957,0.113
0.125,0.938,0.109
0.07,0.961,0.121
0.027,0.988,0.098
0.047,0.961,0.059
0.141,0.855,0.074
0.141,0.941,0.0
0.063,1.297,-0.148
0.066,1.152,-0.125
-0.035,0.969,-0.141
-0.137,0.934,-0.16
-0.188,1.098,-0.191
-0.141,1.066,-0.141
-0.098,0.957,-0.051
-0.063,0.934,-0.008
-0.004,0.941,0.016
-0.055,0.961,0.004
-0.082,0.988,0.055
-0.039,0.957,0.059
0.031,0.906,0.023
-0.012,0.938,-0.027
-0.004,0.945,0.012
