------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 14:32:00
Start Date 2025-10-09
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:43:59
Download Date 2025-10-09
Current Memory Address: 0
Current Battery Voltage: 0     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.184,0.922,-0.012
0.094,1.027,0.066
-0.027,1.043,0.086
-0.047,0.992,0.043
-0.012,0.965,0.035
0.047,1.004,0.051
0.059,1.016,0.086
0.102,1,0.059
0.059,0.984,0.066
0.063,0.969,0.066
0.07,1.016,0.066
0.012,1.016,0.09
0.039,0.988,0.105
0.086,0.957,0.09
0.055,0.977,0.043
0.031,1.18,0.098
0.051,1.055,0.121
0.078,0.949,0.039
0.047,0.875,0.035
0.074,0.977,0.078
0.07,1,0.117
0.082,1.043,0.102
0.047,0.984,0.07
0.051,0.934,0.109
0.074,1.051,0.133
0.023,0.969,0.051
0.023,0.922,0.07
0.074,0.98,0.055
0.086,0.785,0.039
0.121,0.594,-0.168
0.176,0.914,0.121
0.477,1.375,0.012
-0.16,1.008,-0.207
-0.637,-0.055,0.031
-0.594,0.27,0.387
-0.914,2.074,0.004
0.359,1.848,-0.18
-0.191,1.238,-0.191
-0.227,0.676,-0.16
-0.16,0.664,-0.125
-0.227,0.727,-0.086
-0.18,0.887,-0.098
-0.219,1.055,-0.074
-0.141,1.023,-0.105
-0.035,1.051,-0.027
-0.168,0.957,-0.078
-0.145,0.969,-0.09
-0.156,0.973,-0.09
-0.188,0.98,-0.113
-0.258,0.984,-0.105
-0.176,1.004,-0.109
-0.32,0.93,-0.078
-0.855,0.387,-0.059
0.953,1.457,-0.133
0.684,1.086,-0.18
0.465,1.176,-0.168
-0.148,1.129,-0.043
-0.094,0.895,-0.039
0,0.887,-0.113
0.016,0.922,-0.109
0.07,0.996,-0.094
0.047,1,-0.113
0.039,1.016,-0.102
0.695,1.121,-0.195
-0.129,0.918,-0.039
-0.016,1.234,0
0.137,1.023,-0.043
0.133,1.004,-0.145
0.145,0.973,-0.047
0.07,1.012,-0.148
-0.098,1.41,-0.074
0.152,0.691,-0.258
0.121,0.93,-0.211
0.25,0.809,-0.227
0.227,0.914,-0.137
0,1.055,-0.184
0.133,1.184,-0.23
0.188,0.754,-0.293
0.129,0.73,-0.273
0.395,1.035,-0.305
0.25,0.703,-0.355
-0.375,0.617,-0.395
-0.145,1.082,-0.285
-0.32,1.082,-0.277
-0.227,0.91,-0.16
-0.215,0.836,-0.133
-0.406,0.898,-0.098
-1.004,0.973,-0.164
-0.434,1.465,0.727
-0.59,1.012,-0.41
0.27,1.844,0.699
1.059,0.504,0.25
0.375,0.984,-0.398
0.582,1.402,-0.406
-0.605,0.574,0.492
-0.984,0.227,0.141
-0.383,0.367,-0.48
-1.496,0.172,0.156
0.461,2.152,-0.191
0.227,1.418,-0.332
-0.051,1.605,-0.203
-0.305,1.047,-0.68
-0.191,0.449,-0.246
0.184,1.02,-0.102
-0.707,1.215,0.434
-0.34,0.875,0.691
-0.648,0.875,0.379
-0.41,0.621,-0.055
0.082,0.602,-0.547
0.531,1.379,0.512
0.262,1.164,0.293
0.727,1.098,0.078
0.508,1.039,0.266
0.234,0.844,-0.301
-0.066,0.977,-0.172
0.066,1.031,0.102
-0.027,0.957,0.094
-0.051,0.965,-0.012
-0.051,0.914,0.008
0,0.91,0
-0.055,0.844,-0.023
0.242,1.082,0.176
0.168,0.867,0.105
0.699,1.133,0.141
0.828,1.172,0.27
-0.461,0.945,0.184
-0.262,0.852,0.121
-0.074,0.742,-0.137
0.203,0.953,-0.078
0.297,1.133,-0.004
0.031,1.156,0.109
-0.164,0.883,0.031
0.059,0.961,-0.043
-0.016,0.926,-0.07
-0.09,0.891,0.059
0.102,1.211,0.129
0.117,1.074,0.008
0.078,0.977,0.07
-0.004,0.961,0.063
0.293,1.074,-0.07
0.164,0.945,-0.027
0.113,0.801,-0.098
0.215,1.188,0.293
0.258,1.074,0.105
0.223,1.043,0.117
-0.031,0.891,0.102
-0.063,1.012,0.055
0.156,1.074,0.16
0.129,0.926,-0.164
0.012,1.039,-0.055
-0.172,0.953,0.094
-0.074,0.863,0
0.008,0.984,-0.152
-0.031,0.906,-0.105
-0.055,0.871,-0.059
-0.039,1.227,0.238
0.078,1.164,0.164
0.125,0.75,-0.031
-0.031,0.801,-0.172
0.09,0.859,-0.059
0.02,0.867,-0.117
0.156,0.957,0.152
-0.027,0.953,0.195
-0.066,1.234,-0.059
0.055,1.262,-0.09
-0.105,1.195,-0.023
-0.02,1.121,0.094
0.023,0.898,0.121
-0.02,0.914,0.141
-0.082,1.105,0.34
0.012,0.605,-0.336
-0.004,0.957,-0.098
-0.02,0.797,-0.016
-0.125,1.133,-0.113
0,1.031,0.074
0.063,0.828,0.02
-0.184,1.039,0.117
-0.074,0.984,0.047
0.008,1.152,0.203
0.137,1.066,0.223
0.004,0.813,-0.004
0.199,0.957,0.145
0.121,0.609,-0.117
0,1.035,0.258
-0.07,1.156,0.496
-0.383,1.422,0.637
-0.074,1.063,0.23
-0.141,0.902,0.207
-0.09,0.891,0.23
0.082,0.914,-0.004
0,0.977,0.074
-0.066,0.898,0.047
-0.055,1.02,0.09
0.07,1.043,0.07
-0.039,1.102,0.082
-0.086,0.969,0.059
0.043,0.973,0.031
-0.043,1.063,0.012
0.047,0.973,-0.008
0.055,0.898,-0.074
0.043,0.977,-0.039
0.074,0.98,-0.063
0.023,0.941,-0.094
-0.043,1.02,-0.082
-0.195,1.008,-0.078
0.027,0.961,-0.102
0.023,1,-0.09
0.004,1.051,-0.117
0.098,0.988,-0.141
-0.008,1.125,-0.047
0.082,0.844,-0.184
0.07,0.895,-0.156
0.094,0.992,-0.137
-0.039,0.934,-0.133
0.012,0.887,-0.117
-0.094,0.961,-0.086
-0.152,1,-0.133
0.02,1.109,-0.117
-0.004,0.977,-0.164
0,0.953,-0.152
-0.02,0.938,-0.137
0.004,0.926,-0.109
0.023,1.004,-0.055
0.012,0.996,-0.055
0.008,0.98,-0.047
-0.012,0.977,-0.047
-0.012,1,-0.027
-0.012,1.035,0.012
-0.004,1.047,0.031
0.008,0.996,0.031
0.055,0.914,0.008
0.016,1.012,-0.008
-0.078,1,0.051
-0.109,0.996,0.051
-0.113,1.008,0.047
-0.07,1.008,0.059
0,0.984,0.063
0.055,0.988,0.07
0.07,1.023,0.094
0.066,1.016,0.102
0.039,1,0.109
0.004,0.996,0.117
-0.008,0.973,0.109
0.012,0.984,0.105
0.023,1.008,0.105
0.086,1.422,0.418
-0.125,0.785,-0.023
0,1.043,0.125
0.027,1.078,0.195
0.094,1.031,0.148
0.102,0.93,0
0.035,0.793,-0.043
-0.008,0.922,-0.004
0.094,1.074,0.094
0.066,1.047,0.105
0.008,0.879,0.363
0.207,1.055,0.027
0.277,1.125,-0.047
0.293,0.852,-0.02
0.125,0.914,0.027
0.066,1.012,0.031
0.074,0.938,-0.035
0.051,0.914,-0.023
0.238,0.832,-0.137
0.086,1.156,-0.098
0.152,1.039,0.008
0.285,0.727,-0.035
0.063,1.004,-0.273
-0.086,0.926,-0.051
-0.164,1.188,0.055
0.023,1.344,-0.012
-0.148,1.453,-0.012
-0.031,0.934,-0.133
0.125,0.742,-0.027
0.051,0.941,-0.047
0.129,0.777,0.035
0.063,0.988,0.078
0.422,0.926,-0.012
-0.027,1.027,-0.078
-0.004,1.031,-0.035
-0.059,0.906,-0.043
-0.051,0.965,-0.051
0.012,1,-0.043
-0.008,1.004,-0.047
-0.051,0.996,-0.035
-0.078,1.02,-0.02
-0.039,0.977,-0.078
-0.02,0.863,-0.137
0.059,0.918,-0.148
0.16,1.047,-0.098
-0.02,1.02,-0.012
-0.098,0.785,-0.027
0.113,1.117,0.148
-0.063,0.891,0.141
0.672,1.152,-0.008
0.57,1.238,-0.016
0.109,0.969,0.07
-0.172,0.777,-0.055
-0.145,0.777,-0.148
0.027,0.922,-0.105
0.016,1.027,-0.055
0.047,1.07,-0.031
0.094,1.094,-0.027
0.012,0.883,-0.098
0.004,0.934,-0.09
-0.082,1.008,0.039
-0.086,1.016,0.004
-0.055,0.938,-0.07
0.047,1.008,-0.035
0.023,1.063,0.004
-0.008,0.996,-0.02
0.09,0.953,-0.074
-0.059,0.902,-0.023
-0.051,1.105,0.098
0.031,0.973,-0.047
0,0.926,-0.027
-0.012,0.949,0.008
0.035,0.965,0.043
0.238,1.113,0.07
0.094,1.023,0.117
0.137,1.02,0.074
0.141,1.031,0.098
0.016,0.992,0.137
-0.023,0.918,0.043
-0.012,0.914,0.027
0.043,0.938,0.039
0.055,1.051,0.105
0.09,1.055,0.113
0.059,0.984,0.133
0.063,0.945,0.035
0.07,0.957,0.098
0.086,0.996,0.094
0.09,1.012,0.074
0.117,1.027,0.082
0.117,1.039,0.125
0.105,1.047,0.16
0.125,0.953,0.176
0.133,0.805,0.09
0.16,0.879,0.105
0.168,0.977,0.109
0.113,1.055,0.117
0.074,1.066,0.125
0.09,0.984,0.094
0.082,0.992,0.051
0.137,1.031,0.105
0.148,1.016,0.125
0.074,0.93,0.121
0.031,0.93,0.133
0.051,0.98,0.16
0.117,0.984,0.168
0.164,0.988,0.156
0.152,0.961,0.141
0.094,1.047,0.102
0.027,1.098,0.07
0.039,0.934,0.008
0.012,0.918,-0.012
0.035,0.91,-0.051
0.07,1.063,-0.066
0.129,1.047,-0.063
0.031,0.988,-0.086
-0.027,1.031,-0.07
0.043,0.922,-0.074
0.051,0.898,-0.078
0.137,0.867,-0.129
0.148,0.949,-0.137
0.102,1.125,-0.102
0.227,1.066,-0.141
0.285,1.109,-0.129
0.242,0.887,-0.172
0.113,0.82,-0.188
0.066,0.91,-0.145
0.059,0.965,-0.152
0.051,0.965,-0.141
0.078,0.988,-0.133
0.133,1.023,-0.145
0.172,0.996,-0.117
0.207,0.961,-0.105
0.191,0.957,-0.102
0.18,0.934,-0.102
0.176,0.926,-0.098
0.168,0.949,-0.082
0.145,0.977,-0.082
0.129,0.953,-0.074
0.098,0.953,-0.07
0.117,0.977,-0.055
0.152,1.047,-0.078
0.117,1.125,-0.047
0.133,1.016,-0.035
0.113,0.914,-0.043
0.098,0.91,-0.047
0.051,0.953,0.008
0.023,0.992,0.008
0.02,1,0.02
0.035,0.988,0.012
0.074,0.984,0.012
0.094,0.988,0.023
0.121,1.016,0.039
0.125,1.008,0.035
0.105,0.977,0.031
0.094,0.988,0.031
0.086,1,0.043
0.074,1.008,0.063
0.078,0.992,0.059
0.074,0.992,0.051
0.086,0.984,0.059
0.09,0.992,0.07
0.098,0.988,0.074
0.105,0.988,0.066
0.129,0.98,0.063
0.129,0.984,0.07
0.129,0.98,0.078
0.121,0.992,0.082
0.109,0.98,0.086
0.109,0.984,0.086
0.102,0.988,0.086
0.102,0.988,0.086
0.109,0.984,0.086
0.125,0.977,0.09
0.145,0.984,0.086
0.145,0.977,0.094
0.152,0.973,0.098
0.145,0.984,0.094
0.148,0.969,0.086
0.16,0.977,0.086
0.156,0.973,0.086
0.148,0.977,0.086
0.145,0.973,0.082
0.133,0.965,0.082
0.129,0.973,0.082
0.125,0.984,0.086
0.121,0.977,0.078
0.121,0.98,0.086
0.109,0.984,0.074
0.105,0.984,0.086
0.102,0.977,0.078
0.105,0.98,0.086
0.105,0.984,0.086
0.102,0.98,0.086
0.102,0.977,0.086
0.102,0.98,0.098
0.113,0.988,0.086
0.109,0.984,0.09
0.109,0.984,0.09
0.109,0.984,0.09
0.121,0.98,0.086
0.113,0.984,0.082
0.113,0.992,0.082
0.105,0.988,0.086
0.102,0.98,0.086
0.098,0.98,0.086
0.098,0.988,0.086
0.094,0.996,0.086
0.082,0.996,0.086
0.074,0.98,0.07
0.09,0.98,0.066
0.102,0.98,0.074
0.125,0.984,0.082
0.137,0.984,0.074
0.145,0.992,0.07
0.141,0.988,0.063
0.125,0.965,0.055
0.125,0.973,0.059
0.125,0.98,0.063
0.121,0.977,0.055
0.121,0.98,0.051
0.129,0.984,0.051
0.145,0.98,0.051
0.152,0.98,0.047
0.148,0.98,0.055
0.152,0.98,0.043
0.156,0.977,0.047
0.152,0.977,0.043
0.156,0.973,0.043
0.148,0.977,0.035
0.156,0.992,0.035
0.156,0.973,0.039
0.16,0.969,0.035
0.156,0.977,0.027
0.156,0.977,0.039
0.16,0.98,0.027
0.164,0.965,0.031
0.16,0.973,0.039
