Accelerometer X,Accelerometer Y,Accelerometer Z
0.109,1.043,0.301
-0.023,0.957,0.316
-0.016,0.941,0.254
0.074,0.828,0.199
0.184,0.824,0.172
0.27,1.199,0.293
0.34,1.246,0.355
0.305,1.02,0.141
0.316,0.969,0.105
0.262,0.973,0.207
0.133,0.859,0.227
0.008,0.855,0.246
0.008,0.914,0.234
0.113,1.012,0.055
0.207,1.047,-0.172
0.125,1.016,-0.125
0.09,0.992,-0.059
-0.035,0.891,-0.078
0.016,0.887,-0.113
0.086,0.945,-0.102
0.059,1.016,-0.07
-0.031,1.039,-0.055
-0.023,0.988,-0.09
0.063,0.969,-0.082
0.16,0.984,-0.047
0.168,1.023,-0.07
0.07,1.027,-0.027
0.02,0.973,-0.051
0.086,0.984,0.004
0.105,1.012,0.07
0.02,0.992,0.074
0.164,1.004,0.063
0.207,0.953,0.031
0.16,0.965,0.023
0.129,0.973,0.059
0.105,1,0.074
0.098,1.02,0.105
0.094,0.988,0.07
0.125,0.98,0.047
0.168,0.988,0.035
0.266,0.969,0.035
0.301,0.961,0.047
0.262,0.98,0.063
0.133,0.98,0.082
0.031,0.984,0.086
-0.047,1.012,0.07
-0.074,0.996,0.047
0.023,0.914,0.066
0.148,0.887,0.035
0.266,0.953,-0.035
0.27,1.027,-0.184
0.242,1.02,-0.219
0.332,1.094,-0.195
0.371,1.262,-0.215
0.395,1.309,-0.129
0.211,0.914,-0.289
0.094,0.781,-0.156
-0.023,0.766,-0.133
0.063,0.715,-0.102
0.109,0.727,-0.055
0.113,0.766,-0.027
0.137,0.809,-0.043
0.102,0.879,-0.031
0.102,0.926,-0.07
0.07,1.012,-0.074
0.094,1.113,-0.031
0.184,1.129,0.016
0.109,1.16,-0.152
-0.359,1.422,0.164
-0.207,1.34,0.031
-0.324,0.727,-0.266
-0.156,0.863,-0.137
-0.035,1.355,0.074
0.066,1.371,0.117
0.105,0.902,-0.016
-0.066,0.73,-0.023
-0.145,0.688,0
-0.168,0.75,0.043
-0.043,0.887,0.051
0.207,0.898,0.023
0.348,0.902,0
0.301,0.98,-0.008
0.18,0.98,0.098
0.242,1.02,0.027
0.227,1.129,-0.152
0.23,1.402,-0.043
0.156,1.141,-0.074
-0.008,0.816,-0.238
0.051,0.734,-0.32
0.328,1.047,-0.242
0.512,1.199,-0.211
0.426,1.023,-0.195
0.277,0.715,-0.203
0.215,0.59,-0.211
0.172,0.711,-0.219
0.152,0.828,-0.215
0.188,0.871,-0.195
0.227,0.938,-0.172
0.262,0.977,-0.176
0.301,0.984,-0.203
0.281,0.977,-0.223
0.328,0.914,-0.242
0.383,0.84,-0.25
0.277,0.945,-0.188
0.109,1.266,-0.063
0.023,1.316,0.004
0,0.957,-0.113
-0.012,0.801,-0.07
-0.012,0.879,0.051
0.02,0.977,0.141
0.07,0.992,0.156
0.117,0.98,0.121
0.133,0.977,0.074
0.094,0.973,0.055
0.047,0.984,0.051
0.063,0.984,0.074
0.059,0.992,0.074
0.047,1.023,0.082
0.055,1.012,0.07
0.07,1.004,0.074
0.082,1,0.09
0.121,0.988,0.117
0.18,0.969,0.094
0.215,0.984,0.094
0.273,0.98,0.105
0.332,0.957,0.09
0.32,0.98,0.086
0.262,0.969,0.086
0.199,0.961,0.09
0.16,0.98,0.117
0.066,1.016,-0.008
-0.023,1.164,0.117
0.117,1.148,0.18
0.086,1.012,0.078
-0.031,0.883,0.023
-0.004,0.82,-0.078
0.074,0.828,-0.172
0.172,0.961,-0.168
0.262,1.066,-0.102
0.309,1.082,-0.078
0.313,1.027,-0.086
0.258,0.934,-0.063
0.164,0.918,-0.035
0.074,0.941,-0.012
0.059,0.914,0.023
0.086,0.918,0.047
0.047,0.953,0.027
0.008,0.922,-0.008
0.086,0.828,-0.035
0.113,0.984,0.012
0.141,1.32,0.137
0.117,1.191,0.133
