------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 11:48:00
Start Date 2025-10-10
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:19:19
Download Date 2025-10-10
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.039,0.988,-0.02
0.039,1.004,-0.02
0.055,1.016,-0.027
0.031,0.992,-0.051
0,0.984,-0.066
0.023,0.98,-0.09
0.027,0.992,-0.113
0.027,0.98,-0.113
0.023,0.98,-0.109
0.02,0.984,-0.121
0.023,0.98,-0.133
0.012,0.98,-0.152
0.004,0.984,-0.137
-0.004,0.988,-0.133
-0.012,0.984,-0.141
-0.035,0.992,-0.148
-0.035,0.969,-0.16
-0.027,0.98,-0.156
-0.023,0.977,-0.152
-0.016,0.977,-0.156
-0.004,0.98,-0.145
-0.004,0.992,-0.148
0.008,0.977,-0.145
0.023,0.988,-0.148
0.035,0.984,-0.141
0.051,0.988,-0.133
0.055,0.98,-0.141
0.039,0.984,-0.141
0.027,0.996,-0.145
0.031,0.973,-0.141
0.031,0.98,-0.133
0.02,0.98,-0.145
0.008,0.992,-0.137
-0.004,0.988,-0.133
-0.035,0.996,-0.133
-0.043,0.984,-0.133
-0.023,1.004,-0.129
-0.012,0.992,-0.117
0.012,0.98,-0.109
0.023,0.988,-0.109
0.023,0.992,-0.105
0.027,0.988,-0.105
0.02,0.988,-0.102
0.016,0.992,-0.09
0,0.973,-0.086
-0.035,1.012,-0.098
-0.004,0.98,-0.066
0.02,1,-0.094
0.063,0.969,-0.082
0.094,0.996,-0.059
0.059,0.984,-0.121
0.027,1.016,-0.098
0.02,1.012,-0.074
0.016,0.977,-0.094
-0.008,0.992,-0.086
0.004,0.992,-0.094
0.047,0.996,-0.082
0.07,1,-0.082
0.051,0.992,-0.086
0.016,0.988,-0.078
-0.012,0.984,-0.078
-0.016,0.988,-0.105
-0.016,0.996,-0.098
-0.012,0.969,-0.098
0.008,0.988,-0.082
0.027,1.016,-0.094
0.047,0.969,-0.082
0.039,0.977,-0.09
0.039,1.016,-0.082
0.047,0.984,-0.09
0.051,0.977,-0.086
0.047,0.992,-0.086
0.039,1.012,-0.086
0.063,0.98,-0.082
0.055,0.984,-0.074
0.059,0.984,-0.082
0.121,0.875,-0.156
0.031,0.965,0.012
0.016,1.094,-0.02
